"mon_feature_id","sample_begin_date","sample_begin_time","sample_begin_depth","result_num_value","mon_feature_name"
86231,2012-11-15,"10:00:00",0,150,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2012-12-10,"10:00:00",0,220,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2013-02-07,"10:15:00",0,130,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2013-03-01,"13:00:00",0,34,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2013-07-15,"13:20:00",0,53,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2013-09-12,"10:30:00",0,22,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2013-10-17,"10:00:00",0,150,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2013-11-12,"08:30:00",0,40,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2014-10-15,"12:35:00",0,17,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2014-11-20,"08:45:00",0,24,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2014-12-18,"13:45:00",0,17,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2015-04-15,"14:30:00",0,19,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2015-06-10,"13:15:00",0,6,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86231,2015-07-24,"11:40:00",0,6.4,"C9H020 SCHOOLPLAATS (VAAL- HARTS STORAGEWEIR)"
86450,1999-10-14,"14:45:00",0,132.37,"D5H005 SEEKOEIGAT 277 - FLOW MONITORING ON RIETRIVIER"
86522,2023-07-24,"14:46:00",0,1,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
